id;max_mise;max_gagnant;url_server;api_key;api_pass;montant_mise;gains_1;gains_2;gains_3;gains_4;gains_5;gains_6;gains_7;gains_8
1;76336;49161;Hollow Shoes systems;Generic Frozen Tuna HTTP;implement;62585;93343;50313;50103;85648;53937;65869;68396;16293
2;61585;7056;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;54561;82063;94146;62593;38610;82042;96119;65148;90535
3;20668;19579;Intelligent Wooden Shirt;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;2327;34062;81446;26069;28185;49603;11816;69289;69673
4;34833;62894;HTTP system mobile;China;quantify multi-byte;99050;73164;41261;12768;37201;25001;77641;58054;34080
5;86711;93075;SSL bandwidth;application Configurable iterate;Berkshire navigating;32004;29763;89552;9998;38920;5348;1083;95854;90538
6;84714;9128;time-frame Quality;Borders Borders Practical;methodical;32866;55370;67251;21272;75237;94619;79157;78129;78961
7;11346;9120;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;program Auto Loan Account Refined;8410;42609;70096;22257;7276;39665;82186;89189;70624
8;14660;8134;Intelligent Planner;PCI SAS;Interactions;98600;59188;75337;35021;37625;70818;8350;48166;77714
9;37798;55840;communities National Cotton;Advanced grow;Handmade Wooden Cheese Fresh;64921;74421;74604;68103;58336;23750;96217;40022;37487
10;47771;28571;EXE;web services;Industrial Designer Incredible Fresh Car;52770;92464;99296;91911;7379;25299;55385;69541;96930
